Mu Sigma,Data Scientist,105,Bangalore,1648573
IBM,Data Scientist,95,Bangalore,11191950
Tata Consultancy Services,Data Scientist,66,Bangalore,1836874
Impact Analytics,Data Scientist,40,Bangalore,1669578
Accenture,Data Scientist,32,Bangalore,1944110
Infosys,Data Scientist,30,Bangalore,1908764
Capgemini,Data Scientist,28,Bangalore,1926124
Cognizant Technology Solutions,Data Scientist,26,Bangalore,1736708
Anheuser-Busch InBev,Data Scientist,25,Bangalore,11646721
Fractal,Data Scientist,22,Bangalore,11392960
Embibe,Data Scientist,20,Bangalore,11404773
Amazon,Data Scientist,19,Bangalore,11507343
Google,Data Scientist,19,Bangalore,11558095
Flipkart,Data Scientist,18,Bangalore,12557843
HP Inc.,Data Scientist,16,Bangalore,11510081
Wipro,Data Scientist,15,Bangalore,1732821
Ericsson-Worldwide,Data Scientist,15,Bangalore,11221750
MiQ,Data Scientist,15,Bangalore,11739484
Deloitte,Data Scientist,14,Bangalore,11124939
Microsoft,Data Scientist,14,Bangalore,11630396
Genpact,Data Scientist,14,Bangalore,11009436
Fresher,Data Scientist,14,Bangalore,1550980
Société Générale,Data Scientist,13,Bangalore,11870000
Flutura,Data Scientist,13,Bangalore,1758376
Fuzzy Logix,Data Scientist,13,Bangalore,11556575
DXC Technology,Data Scientist,12,Bangalore,11194327
Jio,Data Scientist,11,Bangalore,11470000
Honeywell,Data Scientist,10,Bangalore,11549942
Affine,Data Scientist,10,Bangalore,11009436
Philips,Data Scientist,9,Bangalore,11541572
Bharat Light & Power,Data Scientist,9,Bangalore,1811182
Antuit,Data Scientist,9,Bangalore,11205874
Nielsen,Data Scientist,9,Bangalore,1727111
[24]7.ai,Data Scientist,9,Bangalore,11923257
Fidelity Investments,Data Scientist,9,Bangalore,12143501
Myntra,Data Scientist,9,Bangalore,11926965
First Student,Data Scientist,9,Bangalore,141271
Oracle,Data Scientist,8,Bangalore,11294984
Ola,Data Scientist,8,Bangalore,12334960
Walmart Global Tech,Data Scientist,8,Bangalore,12267616
Tredence,Data Scientist,8,Bangalore,11366992
Intel Corporation,Data Scientist,8,Bangalore,11453427
Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore,11458032
SAP,Data Scientist,8,Bangalore,11730166
Wipro Technologies,Data Scientist,8,Bangalore,1658109
Thoucentric,Data Scientist,8,Bangalore,1794460
Walmart,Data Scientist,8,Bangalore,12567381
Brillio,Data Scientist,8,Bangalore,11637231
Great Learning,Data Scientist,7,Bangalore,1900000
Gramener,Data Scientist,7,Bangalore,1902935
HCL Technologies,Data Scientist,7,Bangalore,1970782
Happiest Minds Technologies,Data Scientist,7,Bangalore,11050000
Hewlett Packard Enterprise | HPE,Data Scientist,7,Bangalore,12119584
Noodle.ai,Data Scientist,7,Bangalore,11687111
Cisco Systems,Data Scientist,7,Bangalore,11465641
INSOFE,Data Scientist,7,Bangalore,1600000
Optum,Data Scientist,7,Bangalore,11805869
Adobe,Data Scientist,6,Bangalore,12624063
ABB,Data Scientist,6,Bangalore,1955297
EY,Data Scientist,6,Bangalore,1761478
Swiggy,Data Scientist,6,Bangalore,12805476
Subex,Data Scientist,6,Bangalore,1969112
iNeuron,Data Scientist,6,Bangalore,1450979
ZS Associates,Data Scientist,6,Bangalore,11338795
Robert Bosch India,Data Scientist,6,Bangalore,11040493
Scienaptic Systems,Data Scientist,6,Bangalore,11291549
FlyNava Technologies,Data Scientist,6,Bangalore,149928
Nokia,Data Scientist,6,Bangalore,11663189
UnitedHealth Group,Data Scientist,6,Bangalore,11323387
Sigmoid Analytics,Data Scientist,6,Bangalore,11246266
Idexcel,Data Scientist,6,Bangalore,1494147
Citi,Data Scientist,5,Bangalore,11892758
GE Healthcare,Data Scientist,5,Bangalore,11572054
SigTuple,Data Scientist,5,Bangalore,12024533
Dell Technologies,Data Scientist,5,Bangalore,11927564
iNeuron,Data Scientist,5,Bangalore,1800000
Ericsson IT Solutions & Services,Data Scientist,5,Bangalore,12009790
Aptus Data Labs,Data Scientist,5,Bangalore,1831462
UniQreate,Data Scientist,5,Bangalore,1516323
LinkedIn,Data Scientist,5,Bangalore,12333241
Apexon,Data Scientist,5,Bangalore,11200000
Shadowfax Technologies,Data Scientist,5,Bangalore,12006522
Bharti Airtel,Data Scientist,5,Bangalore,12160000
Applied Materials,Data Scientist,5,Bangalore,11341316
FICO,Data Scientist,5,Bangalore,11634105
YouPlus,Data Scientist,5,Bangalore,11389256
